x=1986 y=2028  X [###########...########.............]
x=1977 y=2029  X [###########.............]  Y [###########.............]
x=1982 y=2037  X [###########.............]  Y [###########.............]
x=1980 y=2031  X [###########.............]  Y [###########.............]
x=1985 y=2033  X [###########.............]  Y [###########.............]
x=1985 y=2027  X [###########.............]  Y [###########.............]
x=1985 y=2028  X [###########.............]  Y [###########.............]
x=1980 y=2029  X [###########.............]  Y [###########.............]
x=1981 y=2033  X [###########.............]  Y [###########.............]
x=1979 y=2034  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2026  X [###########.............]  Y [###########.............]
x=1979 y=2030  X [###########.............]  Y [###########.............]
x=1975 y=2034  X [###########.............]  Y [###########.............]
x=1976 y=2031  X [###########.............]  Y [###########.............]
x=1977 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2037  X [###########.............]  Y [###########.............]
x=1983 y=2034  X [###########.............]  Y [###########.............]
x=1986 y=2030  X [###########.............]  Y [###########.............]
x=1977 y=2033  X [###########.............]  Y [###########.............]
x=1978 y=2034  X [###########.............]  Y [###########.............]
x=1979 y=2029  X [###########.............]  Y [###########.............]
x=1984 y=2025  X [###########.............]  Y [###########.............]
x=1978 y=2028  X [###########.............]  Y [###########.............]
x=1980 y=2032  X [###########.............]  Y [###########.............]
x=1985 y=2034  X [###########.............]  Y [###########.............]
x=1979 y=2037  X [###########.............]  Y [###########.............]
x=1984 y=2036  X [###########.............]  Y [###########.............]
x=1976 y=2029  X [###########.............]  Y [###########.............]
x=1981 y=2026  X [###########.............]  Y [###########.............]
x=1977 y=2031  X [###########.............]  Y [###########.............]
x=1975 y=2034  X [###########.............]  Y [###########.............]
x=1977 y=2028  X [###########.............]  Y [###########.............]
x=1978 y=2036  X [###########.............]  Y [###########.............]
x=1981 y=2027  X [###########.............]  Y [###########.............]
x=1982 y=2030  X [###########.............]  Y [###########.............]
x=1981 y=2024  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1978 y=2028  X [###########.............]  Y [###########.............]
x=1983 y=2029  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1986 y=2038  X [###########.............]  Y [###########.............]
x=1977 y=2039  X [###########.............]  Y [###########.............]
x=1977 y=2030  X [###########.............]  Y [###########.............]
x=1977 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2024  X [###########.............]  Y [###########.............]
x=1977 y=2035  X [###########.............]  Y [###########.............]
x=1984 y=2031  X [###########.............]  Y [###########.............]
x=1974 y=2033  X [###########.............]  Y [###########.............]
x=1978 y=2033  X [###########.............]  Y [###########.............]
x=1986 y=2029  X [###########.............]  Y [###########.............]
x=1981 y=2026  X [###########.............]  Y [###########.............]
x=1980 y=2037  X [###########.............]  Y [###########.............]
x=1981 y=2031  X [###########.............]  Y [###########.............]
x=1980 y=2031  X [###########.............]  Y [###########.............]
x=1982 y=2036  X [###########.............]  Y [###########.............]
x=1980 y=2032  X [###########.............]  Y [###########.............]
x=1984 y=2026  X [###########.............]  Y [###########.............]
x=1973 y=2036  X [###########.............]  Y [###########.............]
x=1983 y=2030  X [###########.............]  Y [###########.............]
x=1980 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1982 y=2027  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2031  X [###########.............]  Y [###########.............]
x=1977 y=2036  X [###########.............]  Y [###########.............]
x=1979 y=2035  X [###########.............]  Y [###########.............]
x=1977 y=2034  X [###########.............]  Y [###########.............]
x=1976 y=2031  X [###########.............]  Y [###########.............]
x=1981 y=2038  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1982 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2032  X [###########.............]  Y [###########.............]
x=1985 y=2028  X [###########.............]  Y [###########.............]
x=1977 y=2032  X [###########.............]  Y [###########.............]
x=1975 y=2036  X [###########.............]  Y [###########.............]
x=1984 y=2027  X [###########.............]  Y [###########.............]
x=1974 y=2037  X [###########.............]  Y [###########.............]
x=1983 y=2028  X [###########.............]  Y [###########.............]
x=1976 y=2034  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1987 y=2029  X [###########.............]  Y [###########.............]
x=1973 y=2037  X [###########.............]  Y [###########.............]
x=1979 y=2035  X [###########.............]  Y [###########.............]
x=1978 y=2041  X [###########.............]  Y [###########.............]
x=1974 y=2037  X [###########.............]  Y [###########.............]
x=1977 y=2033  X [###########.............]  Y [###########.............]
x=1982 y=2027  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1977 y=2028  X [###########.............]  Y [###########.............]
x=1984 y=2033  X [###########.............]  Y [###########.............]
x=1976 y=2039  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1979 y=2041  X [###########.............]  Y [###########.............]
x=1978 y=2036  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2037  X [###########.............]  Y [###########.............]
x=1983 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2034  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1986 y=2030  X [###########.............]  Y [###########.............]
x=1982 y=2032  X [###########.............]  Y [###########.............]
x=1980 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2028  X [###########.............]  Y [###########.............]
x=1975 y=2034  X [###########.............]  Y [###########.............]
x=1977 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2037  X [###########.............]  Y [###########.............]
x=1982 y=2023  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1987 y=2028  X [###########.............]  Y [###########.............]
x=1984 y=2035  X [###########.............]  Y [###########.............]
x=1983 y=2030  X [###########.............]  Y [###########.............]
x=1977 y=2036  X [###########.............]  Y [###########.............]
x=1976 y=2041  X [###########.............]  Y [###########.............]
x=1980 y=2037  X [###########.............]  Y [###########.............]
x=1984 y=2033  X [###########.............]  Y [###########.............]
x=1977 y=2037  X [###########.............]  Y [###########.............]
x=1987 y=2037  X [###########.............]  Y [###########.............]
x=1983 y=2028  X [###########.............]  Y [###########.............]
x=1981 y=2038  X [###########.............]  Y [###########.............]
x=1977 y=2041  X [###########.............]  Y [###########.............]
x=1974 y=2032  X [###########.............]  Y [###########.............]
x=1984 y=2031  X [###########.............]  Y [###########.............]
x=1975 y=2034  X [###########.............]  Y [###########.............]
x=1977 y=2031  X [###########.............]  Y [###########.............]
x=1981 y=2033  X [###########.............]  Y [###########.............]
x=1978 y=2031  X [###########.............]  Y [###########.............]
x=1979 y=2027  X [###########.............]  Y [###########.............]
x=1978 y=2027  X [###########.............]  Y [###########.............]
x=1977 y=2038  X [###########.............]  Y [###########.............]
x=1981 y=2026  X [###########.............]  Y [###########.............]
x=1976 y=2038  X [###########.............]  Y [###########.............]
x=1985 y=2028  X [###########.............]  Y [###########.............]
x=1979 y=2032  X [###########.............]  Y [###########.............]
x=1972 y=2032  X [###########.............]  Y [###########.............]
x=1973 y=2032  X [###########.............]  Y [###########.............]
x=1982 y=2032  X [###########.............]  Y [###########.............]
x=1977 y=2042  X [###########.............]  Y [###########.............]
x=1978 y=2030  X [###########.............]  Y [###########.............]
x=1977 y=2039  X [###########.............]  Y [###########.............]
x=1979 y=2028  X [###########.............]  Y [###########.............]
x=1976 y=2032  X [###########.............]  Y [###########.............]
x=1985 y=2028  X [###########.............]  Y [###########.............]
x=1977 y=2036  X [###########.............]  Y [###########.............]
x=1978 y=2036  X [###########.............]  Y [###########.............]
x=1982 y=2035  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1976 y=2034  X [###########.............]  Y [###########.............]
x=1987 y=2026  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1983 y=2036  X [###########.............]  Y [###########.............]
x=1985 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2035  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1990 y=2030  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2031  X [###########.............]  Y [###########.............]
x=1979 y=2029  X [###########.............]  Y [###########.............]
x=1981 y=2028  X [###########.............]  Y [###########.............]
x=1981 y=2023  X [###########.............]  Y [###########.............]
x=1977 y=2027  X [###########.............]  Y [###########.............]
x=1983 y=2035  X [###########.............]  Y [###########.............]
x=1986 y=2028  X [###########.............]  Y [###########.............]
x=1975 y=2032  X [###########.............]  Y [###########.............]
x=1981 y=2033  X [###########.............]  Y [###########.............]
x=1976 y=2028  X [###########.............]  Y [###########.............]
x=1977 y=2040  X [###########.............]  Y [###########.............]
x=1976 y=2036  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1986 y=2028  X [###########.............]  Y [###########.............]
x=1983 y=2028  X [###########.............]  Y [###########.............]
x=1972 y=2035  X [###########.............]  Y [###########.............]
x=1973 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2029  X [###########.............]  Y [###########.............]
x=1987 y=2032  X [###########.............]  Y [###########.............]
x=1982 y=2025  X [###########.............]  Y [###########.............]
x=1976 y=2034  X [###########.............]  Y [###########.............]
x=1975 y=2037  X [###########.............]  Y [###########.............]
x=1977 y=2038  X [###########.............]  Y [###########.............]
x=1983 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2025  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1983 y=2027  X [###########.............]  Y [###########.............]
x=1975 y=2032  X [###########.............]  Y [###########.............]
x=1983 y=2026  X [###########.............]  Y [###########.............]
x=1977 y=2029  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1981 y=2036  X [###########.............]  Y [###########.............]
x=1977 y=2037  X [###########.............]  Y [###########.............]
x=1980 y=2024  X [###########.............]  Y [###########.............]
x=1977 y=2034  X [###########.............]  Y [###########.............]
x=1979 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2028  X [###########.............]  Y [###########.............]
x=1983 y=2030  X [###########.............]  Y [###########.............]
x=1988 y=2030  X [###########.............]  Y [###########.............]
x=1982 y=2035  X [###########.............]  Y [###########.............]
x=1975 y=2033  X [###########.............]  Y [###########.............]
x=1979 y=2028  X [###########.............]  Y [###########.............]
x=1977 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2024  X [###########.............]  Y [###########.............]
x=1980 y=2029  X [###########.............]  Y [###########.............]
x=1984 y=2025  X [###########.............]  Y [###########.............]
x=1978 y=2036  X [###########.............]  Y [###########.............]
x=1977 y=2034  X [###########.............]  Y [###########.............]
x=1988 y=2029  X [###########.............]  Y [###########.............]
x=1981 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2031  X [###########.............]  Y [###########.............]
x=1975 y=2040  X [###########.............]  Y [###########.............]
x=1977 y=2037  X [###########.............]  Y [###########.............]
x=1980 y=2023  X [###########.............]  Y [###########.............]
x=1979 y=2034  X [###########.............]  Y [###########.............]
x=1981 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2029  X [###########.............]  Y [###########.............]
x=1972 y=2034  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2026  X [###########.............]  Y [###########.............]
x=1978 y=2034  X [###########.............]  Y [###########.............]
x=1979 y=2028  X [###########.............]  Y [###########.............]
x=1980 y=2027  X [###########.............]  Y [###########.............]
x=1974 y=2032  X [###########.............]  Y [###########.............]
x=1984 y=2029  X [###########.............]  Y [###########.............]
x=1976 y=2032  X [###########.............]  Y [###########.............]
x=1975 y=2036  X [###########.............]  Y [###########.............]
x=1978 y=2023  X [###########.............]  Y [###########.............]
x=1978 y=2034  X [###########.............]  Y [###########.............]
x=1980 y=2038  X [###########.............]  Y [###########.............]
x=1976 y=2034  X [###########.............]  Y [###########.............]
x=1978 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2032  X [###########.............]  Y [###########.............]
x=1980 y=2037  X [###########.............]  Y [###########.............]
x=1976 y=2032  X [###########.............]  Y [###########.............]
x=1974 y=2034  X [###########.............]  Y [###########.............]
x=1984 y=2031  X [###########.............]  Y [###########.............]
x=1981 y=2038  X [###########.............]  Y [###########.............]
x=1975 y=2028  X [###########.............]  Y [###########.............]
x=1985 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2022  X [###########.............]  Y [###########.............]
x=1976 y=2030  X [###########.............]  Y [###########.............]
x=1982 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2032  X [###########.............]  Y [###########.............]
x=1975 y=2033  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1980 y=2037  X [###########.............]  Y [###########.............]
x=1976 y=2036  X [###########.............]  Y [###########.............]
x=1979 y=2034  X [###########.............]  Y [###########.............]
x=1977 y=2040  X [###########.............]  Y [###########.............]
x=1984 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2036  X [###########.............]  Y [###########.............]
x=1975 y=2034  X [###########.............]  Y [###########.............]
x=1981 y=2032  X [###########.............]  Y [###########.............]
x=1985 y=2030  X [###########.............]  Y [###########.............]
x=1982 y=2036  X [###########.............]  Y [###########.............]
x=1977 y=2038  X [###########.............]  Y [###########.............]
x=1983 y=2036  X [###########.............]  Y [###########.............]
x=1983 y=2029  X [###########.............]  Y [###########.............]
x=1976 y=2031  X [###########.............]  Y [###########.............]
x=1978 y=2038  X [###########.............]  Y [###########.............]
x=1983 y=2033  X [###########.............]  Y [###########.............]
x=1976 y=2030  X [###########.............]  Y [###########.............]
x=1981 y=2034  X [###########.............]  Y [###########.............]
x=1973 y=2031  X [###########.............]  Y [###########.............]
x=1980 y=2028  X [###########.............]  Y [###########.............]
x=1985 y=2032  X [###########.............]  Y [###########.............]
x=1985 y=2025  X [###########.............]  Y [###########.............]
x=1981 y=2031  X [###########.............]  Y [###########.............]
x=1984 y=2031  X [###########.............]  Y [###########.............]
x=1981 y=2036  X [###########.............]  Y [###########.............]
x=1983 y=2035  X [###########.............]  Y [###########.............]
x=1977 y=2037  X [###########.............]  Y [###########.............]
x=1984 y=2026  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1976 y=2028  X [###########.............]  Y [###########.............]
x=1977 y=2028  X [###########.............]  Y [###########.............]
x=1984 y=2035  X [###########.............]  Y [###########.............]
x=1979 y=2035  X [###########.............]  Y [###########.............]
x=1977 y=2038  X [###########.............]  Y [###########.............]
x=1982 y=2034  X [###########.............]  Y [###########.............]
x=1980 y=2025  X [###########.............]  Y [###########.............]
x=1984 y=2027  X [###########.............]  Y [###########.............]
x=1980 y=2031  X [###########.............]  Y [###########.............]
x=1974 y=2033  X [###########.............]  Y [###########.............]
x=1979 y=2037  X [###########.............]  Y [###########.............]
x=1979 y=2034  X [###########.............]  Y [###########.............]
x=1976 y=2034  X [###########.............]  Y [###########.............]
x=1980 y=2038  X [###########.............]  Y [###########.............]
x=1985 y=2027  X [###########.............]  Y [###########.............]
x=1971 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2037  X [###########.............]  Y [###########.............]
x=1974 y=2037  X [###########.............]  Y [###########.............]
x=1980 y=2025  X [###########.............]  Y [###########.............]
x=1983 y=2026  X [###########.............]  Y [###########.............]
x=1982 y=2026  X [###########.............]  Y [###########.............]
x=1975 y=2030  X [###########.............]  Y [###########.............]
x=1981 y=2032  X [###########.............]  Y [###########.............]
x=1978 y=2036  X [###########.............]  Y [###########.............]
x=1981 y=2030  X [###########.............]  Y [###########.............]
x=1976 y=2028  X [###########.............]  Y [###########.............]
x=1984 y=2032  X [###########.............]  Y [###########.............]
x=1981 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2032  X [###########.............]  Y [###########.............]
x=1973 y=2033  X [###########.............]  Y [###########.............]
x=1985 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2036  X [###########.............]  Y [###########.............]
x=1980 y=2033  X [###########.............]  Y [###########.............]
x=1973 y=2031  X [###########.............]  Y [###########.............]
x=1983 y=2029  X [###########.............]  Y [###########.............]
x=1977 y=2034  X [###########.............]  Y [###########.............]
x=1986 y=2025  X [###########.............]  Y [###########.............]
x=1972 y=2036  X [###########.............]  Y [###########.............]
x=1989 y=2030  X [###########.............]  Y [###########.............]
x=1978 y=2038  X [###########.............]  Y [###########.............]
x=1980 y=2028  X [###########.............]  Y [###########.............]
x=1984 y=2027  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1973 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2030  X [###########.............]  Y [###########.............]
x=1984 y=2027  X [###########.............]  Y [###########.............]
x=1976 y=2027  X [###########.............]  Y [###########.............]
x=1977 y=2038  X [###########.............]  Y [###########.............]
x=1974 y=2034  X [###########.............]  Y [###########.............]
x=1978 y=2040  X [###########.............]  Y [###########.............]
x=1980 y=2032  X [###########.............]  Y [###########.............]
x=1980 y=2037  X [###########.............]  Y [###########.............]
x=1978 y=2025  X [###########.............]  Y [###########.............]
x=1986 y=2029  X [###########.............]  Y [###########.............]
x=1983 y=2026  X [###########.............]  Y [###########.............]
x=1977 y=2031  X [###########.............]  Y [###########.............]
x=1980 y=2026  X [###########.............]  Y [###########.............]
x=1977 y=2032  X [###########.............]  Y [###########.............]
x=1973 y=2032  X [###########.............]  Y [###########.............]
x=1983 y=2030  X [###########.............]  Y [###########.............]
x=1978 y=2035  X [###########.............]  Y [###########.............]
x=1978 y=2030  X [###########.............]  Y [###########.............]
x=1980 y=2034  X [###########.............]  Y [###########.............]
x=1981 y=2029  X [###########.............]  Y [###########.............]
x=1979 y=2035  X [###########.............]  Y [###########.............]
x=1982 y=2025  X [###########.............]  Y [###########.............]
x=1980 y=2029  X [###########.............]  Y [###########.............]
x=1985 y=2025  X [###########.............]  Y [###########.............]
x=1985 y=2027  X [###########.............]  Y [###########.............]
x=1982 y=2033  X [###########.............]  Y [###########.............]
x=1983 y=2034  X [###########.............]  Y [###########.............]
x=1977 y=2036  X [###########.............]  Y [###########.............]
x=1984 y=2030  X [###########.............]  Y [###########.............]
x=1980 y=2032  X [###########.............]  Y [###########.............]
x=1980 y=2033  X [###########.............]  Y [###########.............]
x=1981 y=2035  X [###########.............]  Y [###########.............]
x=1982 y=2035  X [###########.............]  Y [###########.............]
x=1978 y=2037  X [###########.............]  Y [###########.............]
x=1976 y=2033  X [###########.............]  Y [###########.............]
x=1977 y=2035  X [###########.............]  Y [###########.............]
x=1974 y=2038  X [###########.............]  Y [###########.............]
x=1983 y=2025  X [###########.............]  Y [###########.............]
x=1978 y=2039  X [###########.............]  Y [###########.............]
x=1985 y=2027  X [###########.............]  Y [###########.............]
x=1980 y=2036  X [###########.............]  Y [###########.............]
x=1980 y=2026  X [###########.............]  Y [###########.............]
x=1982 y=2035  X [###########.............]  Y [###########.............]
x=1982 y=2033  X [###########.............]  Y [###########.............]
x=1977 y=2027  X [###########.............]  Y [###########.............]
x=1984 y=2032  X [###########.............]  Y [###########.............]
x=1972 y=2033  X [###########.............]  Y [###########.............]
x=1977 y=2035  X [###########.............]  Y [###########.............]
x=1985 y=2028  X [###########.............]  Y [###########.............]
x=1976 y=2036  X [###########.............]  Y [###########.............]
x=1978 y=2034  X [###########.............]  Y [###########.............]
x=1979 y=2036  X [###########.............]  Y [###########.............]
x=1978 y=2034  X [###########.............]  Y [###########.............]
x=1984 y=2027  X [###########.............]  Y [###########.............]
x=1972 y=2035  X [###########.............]  Y [###########.............]
x=1981 y=2030  X [###########.............]  Y [###########.............]
